Row(year=1975, station=86200, value=36.1)
Row(year=1992, station=63600, value=35.4)
Row(year=1994, station=117160, value=34.7)
Row(year=2014, station=96560, value=34.4)
Row(year=2010, station=75250, value=34.4)
Row(year=1989, station=63050, value=33.9)
Row(year=1982, station=94050, value=33.8)
Row(year=1968, station=137100, value=33.7)
Row(year=1966, station=151640, value=33.5)
Row(year=1983, station=98210, value=33.3)
Row(year=2002, station=78290, value=33.3)
Row(year=2002, station=78290, value=33.3)
Row(year=1986, station=76470, value=33.2)
Row(year=1970, station=103080, value=33.2)
Row(year=2000, station=62400, value=33.0)
Row(year=1956, station=145340, value=33.0)
Row(year=1959, station=65160, value=32.8)
Row(year=1991, station=137040, value=32.7)
Row(year=2006, station=75240, value=32.7)
Row(year=1988, station=102540, value=32.6)
Row(year=2011, station=172770, value=32.5)
Row(year=1999, station=98210, value=32.4)
Row(year=2003, station=136420, value=32.2)
Row(year=2007, station=86420, value=32.2)
Row(year=2008, station=95130, value=32.2)
Row(year=2008, station=82090, value=32.2)
Row(year=2008, station=82090, value=32.2)
Row(year=2008, station=102390, value=32.2)
Row(year=1973, station=71470, value=32.2)
Row(year=1955, station=97260, value=32.2)
Row(year=1953, station=65160, value=32.2)
Row(year=2005, station=107140, value=32.1)
Row(year=1969, station=71470, value=32.0)
Row(year=1969, station=97260, value=32.0)
Row(year=1979, station=63600, value=32.0)
Row(year=2001, station=62400, value=31.9)
Row(year=1997, station=74180, value=31.8)
Row(year=1997, station=76420, value=31.8)
Row(year=1977, station=94180, value=31.8)
Row(year=2013, station=98210, value=31.6)
Row(year=2009, station=81370, value=31.5)
Row(year=2012, station=54990, value=31.3)
Row(year=1971, station=65130, value=31.2)
Row(year=1972, station=137100, value=31.2)
Row(year=1972, station=97260, value=31.2)
Row(year=1972, station=98200, value=31.2)
Row(year=1964, station=76430, value=31.2)
Row(year=1976, station=75040, value=31.1)
Row(year=1963, station=62410, value=31.0)
Row(year=1961, station=76000, value=31.0)
Row(year=1996, station=96140, value=30.8)
Row(year=1996, station=98210, value=30.8)
Row(year=1958, station=117160, value=30.8)
Row(year=1995, station=76420, value=30.8)
Row(year=1978, station=71470, value=30.8)
Row(year=1974, station=167710, value=30.6)
Row(year=1974, station=183980, value=30.6)
Row(year=1954, station=53650, value=30.5)
Row(year=1980, station=161790, value=30.4)
Row(year=1980, station=92400, value=30.4)
Row(year=1952, station=106100, value=30.4)
Row(year=2004, station=117160, value=30.2)
Row(year=2004, station=117160, value=30.2)
Row(year=1990, station=54330, value=30.2)
Row(year=1990, station=63340, value=30.2)
Row(year=1990, station=76000, value=30.2)
Row(year=1985, station=85450, value=29.8)
Row(year=1957, station=75040, value=29.8)
Row(year=1993, station=132030, value=29.7)
Row(year=1981, station=65160, value=29.7)
Row(year=1987, station=105410, value=29.6)
Row(year=1987, station=98210, value=29.6)
Row(year=1987, station=96310, value=29.6)
Row(year=1984, station=105370, value=29.5)
Row(year=1967, station=75040, value=29.5)
Row(year=1950, station=75040, value=29.4)
Row(year=1960, station=173810, value=29.4)
Row(year=1998, station=63600, value=29.2)
Row(year=1965, station=116500, value=28.5)
Row(year=1951, station=75040, value=28.5)
Row(year=1962, station=86200, value=27.4)
Row(year=1962, station=76380, value=27.4)
